CASO,ID,Nombre,Descripción (Escenario Gherkin),Paso,Validación,Resultado Esperado,Resultado Obtenido,Status,Asignación
1,PER-001,Crear solicitud de crédito - Opción seleccionada,Given usuario autenticado en APP | When selecciona una opción de 3 opciones preaprobadas | Then se crea solicitud en estado 'En Curso' sin guardar en BD aún,Seleccionar opción de $,Solicitud no persiste en BD,Solicitud visible en sesión de usuario,,,
2,PER-002,Firma unificada - Aceptar 5 documentos en 1 flujo,Given solicitud en estado 'En Curso' | When usuario completa firma + TOTP | Then se crea registro en BD + estado cambia a 'Pendiente',Completar TOTP,Firma vinculada + TOTP validado,Solicitud guardada en BD con estado Pendiente,,,
3,PER-003,Expiración de solicitud - 1 hora sin completar firma,Given solicitud en estado 'En Curso' creada hace 61 minutos | When ejecuta cron/EventBridge Scheduler | Then solicitud cambia a estado 'Expirado' en BD,Pasar 61 minutos,Lambda ejecuta trigger,Solicitud marcada 'Expirado',,,
4,PER-004,Cambio de template - Expira todas las solicitudes 'En Curso' asociadas,Given usuario con N solicitudes en estado 'En Curso' de template V1 | When operador cambia template a V2 | Then todas N solicitudes de V1 pasan a 'Expirado',Cambiar template en BO,BD se actualiza,Todas las solicitudes antiguas expiran,,,
5,PER-005,Desembolso con fondos disponibles - Inmediato a cuenta sueldo,Given solicitud en estado 'Pendiente' con firma validada | When fondos en recaudadora ≥ monto | Then dispara transferencia inmediata a cuenta sueldo del usuario,Validar fondos,Endpoint de consulta de fondos retorna disponible,"Estado cambias a 'Otorgado', TED registrado",,,
6,PER-006,Desembolso sin fondos - Queda PENDIENTE con retry cada 5 min,Given solicitud en estado 'Pendiente' | When fondos en recaudadora < monto | Then solicitud queda PENDIENTE (no rechaza) + retry automático cada 5 min,Ejecutar retry,Cada 5 min chequea balance,Si fondos llegan antes de 24h desembolsa automático,,,
7,PER-007,Desembolso con timeout 24h corridas - Cancela solicitud,Given solicitud en estado 'PENDIENTE' sin fondos hace 24h corridas | When ejecuta timeout check | Then estado cambia a 'Cancelado',Pasar 24h corridas,Lambda ejecuta timeout,Solicitud marca como Cancelado,,,
8,PER-008,BO - Vista de solicitudes pendientes por fondos (ordenadas por arrival + time to expire),Given operador accede a BO | When filtra 'Pendientes de fondos' | Then se listan ordenadas por orden de llegada con 'expira en X tiempo',Acceder a vista,Columnas visibles con expiration countdown,Operador ve cuál desembolso vence primero,,,
9,PER-009,Generar archivo de novedades - Solo préstamos DESEMBOLSADOS,Given ejecuta generador de reportes ~día 20 | When extrae préstamos | Then solo incluye estado 'Otorgado' (no Pendiente/En Curso/Expirado),Generar archivo manualmente desde BO,BD filtra status=Otorgado,Excel con N filas de desembolsos,,,
10,PER-010,Archivo de novedades incluye campos correctos: legajo + concepto + nombre + importe + fecha,Given archivo generado para La Mantovana | When revisar contenido Excel | Then cada fila tiene [legajo (por usuario) | concepto (fijo) | nombre | importe (cuota mes) | fecha (1º a último día del mes)],Validar estructura Excel,Columnas presentes según spec,El archivo mapea correctamente,,,
11,PER-011,Regla de corte - Si desembolso es posterior al reporte: primera cuota cae en mes siguiente,Given desembolso ocurre día 23 (post-corte día 20) | When genera cuotas | Then primera cuota salta a mes siguiente (~33 días),Generar cuotas post-corte,Tabla cuotas verificada,Primera cuota no es el 4º día hábil de mismo mes,,,
12,PER-012,Ciclo de reportes - Coexisten automático + manual; múltiples generaciones permitidas,Given operador genera reporte manualmente el día 20 | When sistema ya tiene automático programado | Then ambos se generan; La Mantovana toma el más nuevo,Generar 2 reportes mismo día,Histórico de exportaciones registra ambos,Archivo más nuevo es el consumido,,,
13,PER-013,Día de corte - Valor en BD controlado por BO (no variable de ambiente),Given operador entra a BO | When configura día de corte | Then queda guardado en BD + próximo reporte usa este valor,Modificar día de corte en BO,Valor persistido en BD,Reporte respeta nueva fecha de corte,,,
14,PER-014,Recibir archivo de liquidaciones La Mantovana - Importar registros de pagos,Given archivo liquidación recibido (~4º día hábil) | When importa con formato válido | Then cada registro de pago se procesa,Cargar archivo válido,Importador procesa registros,Registros ingresados a tabla pagos,,,
15,PER-015,Pago se imputa a primera cuota NO PAGADA (Sistema Francés - regla 4+1),Given préstamo con N cuotas; cuota 1-2 pagadas; descuento llega | When procesa importación sin nº de cuota | Then imputa a cuota 3 (primera no pagada),Importar descuento sin nº cuota,Lógica busca primer no-pagado,Descuento aplica a cuota 3,,,
16,PER-016,Pago PARCIAL - Monto < cuota; genera error + registra faltante,Given cuota = $100 | When descuento = $80 | Then estado = PAGO PARCIAL + error + marca $20 faltante,Cargar pago parcial,BD guarda estado + monto faltante,Operador ve error en panel conciliación,,,
17,PER-017,Pago CON ERROR - Monto ≠ cuota (ni sobre ni bajo clasificable); estado error genérico,Given cuota sobre préstamo YA PAGADO llega | When procesa importación | Then estado = PAGO CON ERROR + no modifica cuota,Importar pago cuota pagada,Registro rechazado + error loguado,Operador investiga en panel,,,
18,PER-018,SOBREPAGO - Monto > cuota; habilita registrar devolución + cuota queda PAGADA,Given cuota = $100 | When descuento = $125 | Then estado = SOBREPAGO + permite registrar devolución de $25 + cuota marca PAGADA,Cargar sobrepago,Opción devolución habilitada,Registrar devolución de excedente,,,
19,PER-019,Carga manual de pago desde BO - Botón cliente + cuota,Given operador en BO | When selecciona cliente + cuota | Then abre formulario con [quién carga | cuándo | cuánto | monto faltante si es parcial],Usar botón carga manual,Formulario abierto con campos,Registra quién/cuándo/cuánto,,,
20,PER-020,Historiales de exportaciones - Filtrable por usuario/mes/fecha + paginación,Given operador consulta histórico | When filtra por usuario/mes | Then lista exportaciones con [fecha generada | usuario que pidió | estado],Acceder a histórico,Filtros aplicables,Paginación funciona,,,
