Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Validación,Resultado Esperado,Resultado Obtenido,Status,Asignación
Autenticación,PER-4,Autenticar operador de Backoffice en Playground,1,Escenario 1,"Dado que el operador ingresa credenciales válidas,
Cuando inicia sesión,
Entonces obtiene acceso autenticado al playground usando el login existente de PERC.",,,,Pendiente,
Autenticación,PER-4,Autenticar operador de Backoffice en Playground,2,Escenario 2,"Dado que el operador está autenticado,
Cuando invoca un endpoint protegido,
Entonces la API recibe y valida el JWT antes de permitir la operación.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-5,Visualizar listado de templates de préstamos,1,Escenario 1,"Dado que el operador accede a la sección de templates de préstamos,
Cuando ingresa al listado,
Entonces visualiza todos los templates registrados.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-5,Visualizar listado de templates de préstamos,2,Escenario 2,"Dado que existen templates cargados,
Cuando se muestran en el listado,
Entonces cada registro exhibe al menos monto, tasa, tiempo, CFE y CFT.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,1,Escenario 1,"Dado que el operador accede a la creación de un template,
Cuando completa los datos requeridos,
Entonces puede registrar un nuevo template de préstamo.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,2,Escenario 2,"Dado que el operador crea un template,
Cuando guarda la configuración,
Entonces el sistema almacena todas las variables financieras definidas para el préstamo.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,3,Escenario 3,"Dado que el operador crea un template,
Cuando selecciona un tag,
Entonces el sistema valida las reglas de asignación correspondientes.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,4,Escenario 4,"Dado que el operador ingresa valores numéricos,
Cuando completa monto, cuotas, tasa y demás variables,
Entonces el sistema restringe el tipo de dato según corresponda.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,5,Escenario 5,"Dado que el template se crea correctamente,
Cuando finaliza el alta,
Entonces el sistema registra la operación para auditoría.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-7,Visualizar y/o modificar un template de préstamo,1,Escenario 1,"Dado que el operador accede a un template existente,
Cuando abre su detalle,
Entonces visualiza todos sus campos configurados.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-7,Visualizar y/o modificar un template de préstamo,2,Escenario 2,"Dado que el operador edita un template,
Cuando modifica los parámetros permitidos y confirma la acción,
Entonces el sistema guarda los cambios.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-7,Visualizar y/o modificar un template de préstamo,3,Escenario 3,"Dado que el operador modifica un template,
Cuando actualiza los campos,
Entonces todas las variables del préstamo son editables. En el caso de modificar un tag, se deben de validar las reglas de negocio.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-7,Visualizar y/o modificar un template de préstamo,4,Escenario 4,"Dado que se confirma una modificación,
Cuando el sistema procesa el cambio,
Entonces registra auditoría con usuario, fecha y campos modificados.
Cualquier edición de un template NO modifica la solicitudes previamente asignadas a los usuarios.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-8,Eliminar un template de préstamo,1,Escenario 1,"Dado que el operador selecciona un template existente,
Cuando confirma la eliminación,
Entonces el sistema da de baja el template.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-8,Eliminar un template de préstamo,2,Escenario 2,"Dado que un template fue eliminado,
Cuando el sistema procesa la acción,
Entonces el registro no se elimina físicamente y debe conservar trazabilidad.",,,,Pendiente,
Gestionar Templates de Préstamos,PER-8,Eliminar un template de préstamo,3,Escenario 3,"Dado que la eliminación se ejecuta correctamente,
Cuando finaliza la operación,
Entonces el sistema registra la acción para auditoría.
Cualquier eliminación de un template NO modifica la solicitudes previamente asignadas a los usuarios.",,,,Pendiente,
Sin épica,PER-9,Auditoría de templates para seguimiento,1,Escenario 1,Sin descripción / sin criterios,,,,Pendiente,
Sin épica,PER-16,BACK Setup ClaudeCode,1,Escenario 1,Sin descripción / sin criterios,,,,Pendiente,
Sin épica,PER-17,FRONT Setup ClaudeCode,1,Escenario 1,Sin descripción / sin criterios,,,,Pendiente,
