Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Validación,Resultado Esperado,Resultado Obtenido,Status,Asignación
Solicitud de Crédito,PER-001,Crear solicitud de crédito,1,Con opción válida,Dado que usuario está autenticado en APP | Cuando selecciona una de las 3 opciones de preaprobadas | Entonces se crea solicitud en estado EN CURSO sin registro en BD,,La solicitud se muestra en la sesión del usuario con monto y plazo seleccionado,,Pendiente,
Solicitud de Crédito,PER-002,Crear solicitud de crédito,1,Múltiples solicitudes simultáneas,Dado que usuario autenticado ha seleccionado opción | Cuando selecciona otra opción antes de completar firma | Entonces se descarta la anterior y comienza nueva,,La segunda solicitud reemplaza la anterior en estado EN CURSO,,Pendiente,
Solicitud de Crédito,PER-003,Firma con TOTP,1,Código TOTP válido,Dado que usuario visualiza documento Sábana PDF | Cuando ingresa código TOTP correcto | Entonces sistema verifica código y procede a firma digital,,Documento se marca como FIRMADO con timestamp; estado pasa a PENDIENTE,,Pendiente,
Solicitud de Crédito,PER-004,Firma con TOTP,1,Expiración solicitud después de 1 hora,Dado que solicitud fue creada hace más de 60 minutos | Cuando cron/Lambda dispara validación | Entonces estado cambia a EXPIRADO,,Solicitud es inaccesible; usuario debe reiniciar flujo,,Pendiente,
Desembolso,PER-005,Desembolso a cuenta sueldo,1,Desembolso inmediato con fondos,Dado que solicitud está PENDIENTE y cuenta recaudadora tiene fondos | Cuando endpoint `/funds/balance` retorna saldo >= monto | Entonces sistema transfiere a cuenta sueldo en el momento,,Estado pasa a OTORGADO; usuario recibe notificación de desembolso,,Pendiente,
Desembolso,PER-006,Desembolso a cuenta sueldo,1,Desembolso con retry cada 5 minutos,Dado que solicitud está PENDIENTE y fondos insuficientes | Cuando polling dispara cada 5 min | Entonces sistema reintenta hasta 24h,,Si fondos ingresan antes de 24h corridas: se desembolsa automático y estado = OTORGADO,,Pendiente,
Desembolso,PER-007,Desembolso a cuenta sueldo,1,Timeout 24h sin fondos,Dado que solicitud está PENDIENTE desde hace 24h | Cuando timeout dispara | Entonces solicitud se cancela automáticamente,,Estado = PRECANCELADO; usuario recibe notificación de cancelación automática,,Pendiente,
Desembolso,PER-008,Vista BO solicitudes pendientes,1,Countdown de fondos disponibles,Dado que operador accede a BO | Cuando visualiza solicitudes PENDIENTE | Entonces ve listado con monto + horas restantes para timeout,,Tablero muestra: Monto | Solicitante | Horas restantes | Estado de retry,,Pendiente,
Reportes,PER-009,Generar archivo novedades para La Mantovana,1,Solo solicitudes desembolsadas,Dado que día de corte configurado en BD = 20 | Cuando sistema genera reporte ~día 20 | Entonces archivo contiene SOLO préstamos DESEMBOLSADOS,,Archivo Excel incluye: legajo | concepto | nombre | importe | fecha (1°-último día mes),,Pendiente,
Reportes,PER-010,Generar archivo novedades para La Mantovana,1,Solicitud desembolsada post-corte,Dado que préstamo se desembolsa después del día 20 | Cuando próximo corte se ejecuta | Entonces primera cuota entra en ciclo siguiente,,Cuota aparece con generación automática; primera cuota al mes posterior,,Pendiente,
Reportes,PER-011,Generar archivo novedades para La Mantovana,1,Coexistencia flujo automático y manual,"Dado que operador BO puede generar reporte manual | Cuando presiona botón ""Generar reporte"" | Entonces sistema expone archivo sin duplicar registros previos",,Archivo manual contiene solo cuotas del rango solicitado sin duplicación,,Pendiente,
Reportes,PER-012,Importar archivo liquidación La Mantovana,1,Recepción correcta 4° día hábil,Dado que La Mantovana envía archivo de liquidaciones | Cuando fecha = 4° día hábil del mes | Entonces sistema importa e procesa pagos,,Sistema registra importación con timestamp; inicia imputación a cuotas,,Pendiente,
Reportes,PER-013,Histórico reportes filtrable,1,Filtrado por usuario/mes/fecha,Dado que operador accede a vista histórico | Cuando selecciona filtros (usuario + mes + rango fecha) | Entonces se muestran reportes coincidentes con paginación,,Resultados filtrados se muestran correctamente; botón descarga disponible,,Pendiente,
Reportes,PER-014,Exportación histórico,1,Descarga de reportes,"Dado que operador selecciona 1-N reportes | Cuando presiona ""Descargar"" | Entonces sistema genera ZIP si múltiples o archivo individual si único",,Archivo(s) disponible para descarga inmediata o vía mail según peso,,Pendiente,
Imputación,PER-015,Regla imputación a primera cuota NO PAGADA,1,Correcta asignación (4+1),Dado que archivo de La Mantovana trae descuentos por legajo | Cuando imputación automática se ejecuta | Entonces dinero se asigna a la primera cuota sin estado PAGADA,,Sistema registra imputación con fecha; cuota avanza en estado de pago,,Pendiente,
Imputación,PER-016,Estado de pago: PAGO PARCIAL,1,Monto < cuota; genera error,Dado que descuento mensual < monto de cuota | Cuando sistema procesa | Entonces estado = PAGO PARCIAL y marca monto faltante,,Panel BO muestra error identificado; QA registra diferencia en cuota,,Pendiente,
Imputación,PER-017,Estado de pago: PAGO CON ERROR,1,Imputación inválida (cuota ya pagada),Dado que descuento llega para cuota ya con estado PAGADA | Cuando sistema intenta imputar | Entonces rechaza y estado = PAGO CON ERROR,,Error registra detalles (legajo + cuota + motivo); disponible en panel manual,,Pendiente,
Imputación,PER-018,Estado de pago: SOBREPAGO,1,Monto > cuota; habilita devolución,Dado que descuento mensual > monto de cuota | Cuando sistema procesa | Entonces estado = SOBREPAGO y cuota = PAGADA sin excedente,,Sistema registra excedente; operador puede registrar devolución al cliente,,Pendiente,
Imputación,PER-019,Carga manual de pago desde BO,1,Registro de quién/cuándo/cuánto,"Dado que operador accede a botón ""Registrar pago"" para cliente+cuota | Cuando selecciona monto + guarda | Entonces se registra: operador | timestamp | monto | referencia",,Audit trail muestra entrada con datos completos; cuota avanza en estado,,Pendiente,
Imputación,PER-020,Panel de conciliación,1,Histórico de estados de cuota,Dado que operador accede a cuota específica | Cuando abre histórico | Entonces ve timeline completo: intentos de imputación + errores + correcciones,,Timeline muestra cronología de cambios con detalle de operador/timestamp,,Pendiente,
Estados,PER-021,Transición PENDIENTE → OTORGADO,1,Desembolso completado,Dado que desembolso exitoso se ejecuta | Cuando fondos llegan a cuenta sueldo | Entonces estado transiciona a OTORGADO,,Préstamo visible en sesión usuario como OTORGADO con cuotas vigentes,,Pendiente,
Estados,PER-022,Transición OTORGADO → PAGADO,1,Todas cuotas con estado PAGADA,Dado que última cuota registra estado = PAGADA | Cuando validación automática ejecuta | Entonces préstamo = PAGADO,,Estado se actualiza automáticamente; usuario recibe notificación de cierre,,Pendiente,
Estados,PER-023,Cancelación anticipada,1,Cálculo penalidad (K restante + I_futuros × %pen + K × %com + IVA),Dado que usuario solicita cancelación anticipada | Cuando sistema calcula monto final | Entonces aplica fórmula exacta con todos componentes,,Sistema genera resumen de cálculo para confirmación; firma electrónica requerida,,Pendiente,
Cancelación,PER-024,Arrepentimiento - Ley de Botón,1,Dentro de 10 días corridos,Dado que usuario dentro de ventana de 10 días solicita arrepentimiento | Cuando flujo manual por mail se inicia | Entonces operador registra cancelación; estado = ARREPENTIDO,,Registro muestra: fecha solicitud | firma digital por mail | confirmación bancaria,,Pendiente,
Cancelación,PER-025,Precancelación anticipada,1,Cancelación antes del desembolso (desistimiento),"Dado que usuario cancela solicitud PENDIENTE manualmente en app | Cuando presiona ""Desistir"" | Entonces estado = PRECANCELADO sin desembolso ejecutado",,Fondos no se transfieren; solicitud archivada con motivo de cancelación,,Pendiente,
Cancelación,PER-026,BO marca cancelación manual,1,Registro solamente (no ejecución TED),"Dado que operador BO confirma cancelación | Cuando presiona ""Confirmar"" | Entonces estado se registra en BD sin transferencia monetaria",,Audit trail registra quién cancela y cuándo; TED es responsabilidad de La Mantovana,,Pendiente,
Cancelación,PER-027,Arrepentimiento requiere validación de fondos,1,Confirmación de disponibilidad,Dado que usuario solicita arrepentimiento | Cuando sistema valida `/funds/balance` | Entonces verifica que cuenta recaudadora pueda remesar monto + penalidad,,Si fondos insuficientes: error y se notifica; requiere renovación manual,,Pendiente,
Cálculos,PER-028,Validación cuenta sueldo destino único,1,Identificación en lista de wallets,Dado que usuario activa desembolso | Cuando sistema consulta `/get account` | Entonces identifica cuenta sueldo como destino principal,,Desembolso se transfiere SOLO a cuenta etiquetada como SUELDO; rechaza alternativas,,Pendiente,
Cálculos,PER-029,Tope legal 30% del sueldo percibido,1,Máximo prestable = Sueldo × 0.30,Dado que sueldo empleado = $10.000 | Cuando se calcula máximo prestable | Entonces límite = $3.000,,"Sistema rechaza monto > $3.000 con error: ""Excede tope legal""; UI bloquea botón solicitar",,Pendiente,
Cálculos,PER-030,Cuota Sistema Francés,1,Fija mensual con TEM = TNA/12 × (1 + IVA),Dado que TNA 89% anual | Cuando cuota se calcula | Entonces valor es constante en todas las cuotas,,Cuota inicial = última cuota; cálculo PMT coincide con Excel Seba,,Pendiente,
Cálculos,PER-031,Seguro de vida,1,Capitalizado al inicio; $0 en cuotas mensuales,Dado que seguro = 3% | Cuando monto prestado se calcula | Entonces Seguro incluido en capital; columna cuota = $0 por seguro,,BD registra: Monto prestado = Capital + (Capital × 3%); cuota no refleja seguro mensuales,,Pendiente,
Cálculos,PER-032,Mora,1,% fijo capitalizado (no condicional),Dado que mora = 3% | Cuando préstamo se crea | Entonces se cobra siempre sin condición de retraso,,Monto prestado incluye: Capital + Seguro + Mora + Sellos + Gastos; se muestra en resumen,,Pendiente,
Cálculos,PER-033,Legajo levantado por Quarks,1,Campo guardado en usuario,Dado que operador BO ingresa legajo en template usuario | Cuando se guarda | Entonces legajo se almacena en tabla usuarios para futuras solicitudes,,Legajo permanece disponible en perfil usuario; se exporta a Finegans en reporte,,Pendiente,
Cálculos,PER-034,Elegibilidad/Tags/Sueldo responsabilidad PERC,1,Quarks solo valida datos recibidos,Dado que PERC determina elegibilidad via matrix manual + tags Watson | Cuando usuario intenta solicitar | Entonces Quarks valida que esté habilitado sin recalcular criterios,,"Si tag = NO ELEGIBLE: app rechaza solicitud; error: ""No habilitado para solicitar""",,Pendiente,
Documentos,PER-035,Documentos HTML dinámicos,1,Renderizado a PDF con variables completadas,Dado que BO sube plantilla HTML con placeholders {{nombre}} {{monto}} | Cuando solicitud se crea | Entonces variables se reemplazan con datos usuario/préstamo,,PDF generado contiene: nombre correcto | monto solicitado | términos dinámicos; sin placeholders,,Pendiente,
Documentos,PER-036,Documento Sábana,1,Fusión de 5 documentos en orden definido,Dado que template define orden: Términos > Privacidad > Financiero > Moratorias > Declaración | Cuando Sábana se genera | Entonces PDF final contiene todos 5 en ese orden sin duplicación,,PDF Sábana paginado correctamente; tamaño < 10MB; no contiene placeholders,,Pendiente,
Documentos,PER-037,TOTP obligatorio en firma,1,Security bypass imposible en endpoint,Dado que usuario completa TOTP en UI | Cuando presiona CONFIRMAR | Entonces endpoint de firma verifica token válido antes de permitir,,Intento directo a endpoint sin TOTP válido = rechazo HTTP 403; sin firma registrada,,Pendiente,
Documentos,PER-038,Firma auditable,1,Timestamp + 5 documentos embebidos,Dado que usuario confirma con TOTP | Cuando sistema procesa firma | Entonces se guarda: fecha/hora exacta | 5 PDFs originales + Sábana con firma digital,,S3 registra 6 archivos con metadata: fecha | usuario | versión template | hash de integridad,,Pendiente,
Operativa,PER-039,Máquina de estados - Transiciones válidas,1,Solo rutas permitidas,Dado que préstamo en EN CURSO | Cuando usuario intenta avanzar directamente a PAGADO | Entonces sistema rechaza transición inválida,,"Error: ""Transición no permitida""; estado se mantiene EN CURSO",,Pendiente,
Operativa,PER-040,Audit trail operador BO,1,Logging de cada acción,Dado que operador realiza cambio (ej: marcar cuota PAGADA) | Cuando acción se guarda | Entonces se registra: operador | timestamp | acción | monto anterior/nuevo,,DB tabla `audit_log` contiene entrada completa; visible en UI histórico,,Pendiente,
Operativa,PER-041,Validación formato importación La Mantovana,1,Rechaza íntegro si hay error,Dado que archivo Excel con error en campo (ej: legajo vacío) | Cuando sistema intenta importar | Entonces todo el archivo se rechaza sin procesar ninguna fila,,Error muestra: fila exacta | campo faltante | solución sugerida; requiere reintentar,,Pendiente,
Operativa,PER-042,Concordancia exacta pago = cuota,1,Validación post-imputación,Dado que descuento = $1.234,50 y cuota = $1.234,50 | Cuando se imputa | Entonces estado = PAGADA sin diferencia pendiente,,Sistema calcula diferencia exacta (0.00); no requiere ajuste manual,
Operativa,PER-043,Validación de fondos para arrepentimiento,1,Recaudadora debe tener monto + penalidad,Dado que usuario arrepentido solicita devolución por $5.000 | Cuando sistema valida `/funds/balance` | Entonces verifica saldo >= ($5.000 + penalidad),,"Si fondos insuficientes: status = ""Pendiente de fondos""; reintento automático cada 24h",,Pendiente,
Operativa,PER-044,Base de cancelación anticipada,1,Deuda restante (no total),Dado que préstamo total = $10.000 y pagado = $6.000 | Cuando usuario solicita cancelación anticipada | Entonces base de penalidad = $4.000 (restante),,Resumen muestra: Deuda restante | Intereses futuros | Penalidad | Comisión | IVA; total final correcto,,Pendiente,
Operativa,PER-045,FIFO estricto desembolso,1,Orden de llegada sin saltar solicitudes,Dado que 3 solicitudes PENDIENTE sin fondos llegan: A | B | C | Cuando fondos ingresan | Entonces desembolsa A primero; B y C esperar su turno,,Log muestra: A desembolsado HH:MM | B en espera | C en espera; orden respetado,,Pendiente,
Operativa,PER-046,Corte de reporte en BD no en env var,1,Parámetro configurable por operador,Dado que operador modifica día de corte en BO de 20 a 25 | Cuando cambio se guarda en BD | Entonces reporte futuro respeta nueva fecha,,Sistema guarda: `config.cut_date = 25`; próximo ciclo usa día 25 sin redeploy,,Pendiente,
Operativa,PER-047,Elegibilidad validación (PERC side),1,Sin recálculo de criterios,Dado que usuario habilitado en Watson | Cuando intenta solicitar en APP | Entonces Quarks solo lee tag; no valida antigüedad/presentismo nuevamente,,Si PERC inhabilita: tag cambia en Watson; próxima solicitud rechazada en APP,,Pendiente,
Operativa,PER-048,Documentos dinámicos con placeholders,1,Variables reemplazadas correctamente,Dado que HTML tiene {{usuario_nombre}} {{solicitud_monto}} {{banco_cuenta}} | Cuando PDF se genera | Entonces cada placeholder contiene valor correcto sin texto literal,,"PDF final: ""Juan García"" en lugar de ""{{usuario_nombre}}"" en cada ocurrencia",,Pendiente,
Operativa,PER-049,Firma manual cancelaciones,1,Flujo email pre-completado,"Dado que operador inicia cancelación anticipada | Cuando presiona ""Enviar solicitud a usuario"" | Entonces mail contiene: link firmado | resumen crédito | monto cancelación | instrucciones",,Usuario recibe mail con CTA; firma electrónica integrada sin descarga adicional,,Pendiente,
Operativa,PER-050,Identificación de cuenta sueldo,1,Get account lista todas; UI destaca sueldo,Dado que usuario con 2 wallets (sueldo + ahorros) llama `/get accounts` | Cuando lista se retorna | Entonces sueldo está etiquetado claramente,,"App muestra: ""Cuenta Sueldo (Principal)"" vs ""Cuenta Ahorros (No disponible para desembolso)""",,Pendiente,
