CASO,Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Status,Comentario,Asignación
1,Gestionar Templates de Préstamos,PER-5,Visualizar listado de templates de préstamos,1,Visualizar Templates,"Dado que el operador accede a la sección de templates de préstamos, Cuando ingresa al listado, Entonces visualiza todos los templates registrados, Y cada registro exhibe monto, tasa, tiempo, CFE y CFT.",Pendiente,,
2,Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,1,Completar Datos de Template,"Dado que el operador accede a la creación de un template, Cuando completa los datos requeridos, Entonces puede registrar un nuevo template de préstamo.",Pendiente,,
3,Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,2,Guardar datos del template,"Dado que el operador crea un template, Cuando guarda la configuración, Entonces el sistema almacena todas las variables financieras definidas para el préstamo.",Pendiente,,
4,Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,3,Escenario 3,"Dado que el operador crea un template, Cuando selecciona un tag, Entonces el sistema valida las reglas de asignación correspondientes.",Pendiente,,
5,Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,4,Escenario 4,"Dado que el operador ingresa valores numéricos, Cuando completa monto, cuotas, tasa y demás variables, Entonces el sistema restringe el tipo de dato según corresponda.",Pendiente,,
6,Gestionar Templates de Préstamos,PER-6,Crear template de préstamo,5,Escenario 5,"Dado que el template se crea correctamente, Cuando finaliza el alta, Entonces el sistema registra la operación para auditoría.",Pendiente,,
7,Gestionar Templates de Préstamos,PER-7,Visualizar y/o modificar un template de préstamo,1,Escenario 1,"Dado que el operador accede a un template existente, Cuando abre su detalle, Entonces visualiza todos sus campos configurados.",Pendiente,,
8,Gestionar Templates de Préstamos,PER-7,Visualizar y/o modificar un template de préstamo,2,Escenario 2,"Dado que el operador edita un template, Cuando modifica los parámetros permitidos y confirma la acción, Entonces el sistema guarda los cambios.",Pendiente,,
9,Gestionar Templates de Préstamos,PER-7,"Esto es un tracker de UAT. Acabo de tener todos los escenarios. Los puse en estilo Gerkin. Quizás están un poco generales y poco específicos, y algunos escenarios directamente no están en Gerkin.",3,Escenario 3,"Dado que el operador modifica un template, Cuando actualiza los campos, Entonces todas las variables del préstamo son editables. En el caso de modificar un tag, se deben de validar las reglas de negocio.",Pendiente,,
10,Gestionar Templates de Préstamos,PER-7,,4,Escenario 4,"Dado que se confirma una modificación, Cuando el sistema procesa el cambio, Entonces registra auditoría con usuario, fecha y campos modificados. Cualquier edición de un template NO modifica la solicitudes previamente asignadas a los usuarios.",Pendiente,,
